date,title,type,category
"Dec 26, 2019",Adjustments of Certain Rates of Pay,Executive Orders,Labor/Immigration
"Dec 17, 2019","Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2019",Executive Orders,Administrative work
"Dec 11, 2019",Combating Anti-Semitism,Executive Orders,Events
"Nov 26, 2019",Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,Executive Orders,Criminal justice
"Oct 31, 2019",Improving Federal Contractor Operations by Revoking Executive Order 13495,Executive Orders,Labor/Immigration
"Oct 28, 2019",Commission on Law Enforcement and the Administration of Justice,Executive Orders,Criminal justice
"Oct 22, 2019",President's Council of Advisors on Science and Technology,Executive Orders,Tech
"Oct 14, 2019",Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Syria,Executive Orders,National security
"Oct 10, 2019",Increasing Government Accountability for Administrative Actions by Reinvigorating Administrative PAYGO,Executive Orders,Economy
"Oct 9, 2019",Promoting the Rule of Law Through Improved Agency Guidance Documents,Executive Orders,Administrative work
"Oct 9, 2019",Promoting the Rule of Law Through Transparency and Fairness in Civil Administrative Enforcement and Adjudication,Executive Orders,Administrative work
"Oct 3, 2019",Protecting and Improving Medicare for Our Nation's Seniors,Executive Orders,Health care
"Sep 27, 2019",Continuance of Certain Federal Advisory Committees,Executive Orders,Administrative work
"Sep 26, 2019",Enhancing State and Local Involvement in Refugee Resettlement,Executive Orders,Labor/Immigration
"Sep 19, 2019",Modernizing Influenza Vaccines in the United States To Promote National Security and Public Health,Executive Orders,Health care
"Sep 9, 2019",Modernizing Sanctions To Combat Terrorism,Executive Orders,National security
"Aug 30, 2019",Establishing the National Quantum Initiative Advisory Committee,Executive Orders,Tech
"Aug 5, 2019",Blocking Property of the Government of Venezuela,Executive Orders,National security
"Aug 1, 2019",Administration of Proliferation Sanctions and Amendment of Executive Order 12851,Executive Orders,National security
"Jul 26, 2019",Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Mali,Executive Orders,National security
"Jul 15, 2019","Maximizing Use of American-Made Goods, Products, and Materials",Executive Orders,Economy
"Jul 11, 2019",Collecting Information About Citizenship Status in Connection With the Decennial Census,Executive Orders,Labor/Immigration
"Jul 10, 2019",Advancing American Kidney Health,Executive Orders,Health care
"Jun 25, 2019",Establishing a White House Council on Eliminating Regulatory Barriers to Affordable Housing,Executive Orders,Economy
"Jun 24, 2019",Imposing Sanctions With Respect to Iran,Executive Orders,National security
"Jun 24, 2019",Improving Price and Quality Transparency in American Healthcare To Put Patients First,Executive Orders,Health care
"Jun 14, 2019",Evaluating and Improving the Utility of Federal Advisory Committees,Executive Orders,Administrative work
"Jun 11, 2019",Modernizing the Regulatory Framework for Agricultural Biotechnology Products,Executive Orders,Tech
"May 15, 2019",Securing the Information and Communications Technology and Services Supply Chain,Executive Orders,Tech
"May 13, 2019",Economic Empowerment of Asian Americans and Pacific Islanders,Executive Orders,Economy
"May 8, 2019","Imposing Sanctions With Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran",Executive Orders,National security
"May 2, 2019",America's Cybersecurity Workforce,Executive Orders,Tech
"Apr 24, 2019",Transferring Responsibility for Background Investigations to the Department of Defense,Executive Orders,National security
"Apr 10, 2019",Promoting Energy Infrastructure and Economic Growth,Executive Orders,Energy
"Apr 10, 2019",Issuance of Permits With Respect to Facilities and Land Transportation Crossings at the International Boundaries of the United States,Executive Orders,Energy
"Mar 28, 2019",Adjustments of Certain Rates of Pay,Executive Orders,Economy
"Mar 26, 2019",Coordinating National Resilience to Electromagnetic Pulses,Executive Orders,National security
"Mar 21, 2019","Improving Free Inquiry, Transparency, and Accountability at Colleges and Universities",Executive Orders,Events
"Mar 15, 2019",Taking Additional Steps to Address the National Emergency With Respect to Significant Transnational Criminal Organizations,Executive Orders,National security
"Mar 6, 2019",Revocation of Reporting Requirement,Executive Orders,National security
"Mar 5, 2019",National Roadmap To Empower Veterans and End Suicide,Executive Orders,National security
"Mar 4, 2019",Supporting the Transition of Active Duty Servicemembers and Military Veterans Into the Merchant Marine,Executive Orders,National security
"Feb 11, 2019",Maintaining American Leadership in Artificial Intelligence,Executive Orders,Tech
"Jan 31, 2019",Strengthening Buy-American Preferences for Infrastructure Projects,Executive Orders,Economy
"Jan 25, 2019",Taking Additional Steps To Address the National Emergency With Respect to Venezuela,Executive Orders,National security
"Dec 28, 2018",Adjustments of Certain Rates of Pay,Executive Orders,Economy
"Dec 21, 2018","Promoting Active Management of America's Forests, Rangelands, and Other Federal Lands To Improve Conditions and Reduce Wildfire Risk",Executive Orders,Energy
"Dec 18, 2018","Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2018",Executive Orders,Administrative work
"Dec 12, 2018",Establishing the White House Opportunity and Revitalization Council,Executive Orders,Economy
"Dec 1, 2018","Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 5, 2018",Executive Orders,Administrative work
