date,title,president,type,category,Category ideas?
03-18-2020,Prioritizing and Allocating Health and Medical Resources to Respond to the Spread of COVID–19,Donald J. Trump,Executive Orders,Health care,
02-13-2020,Amending Executive Order 13803—Reviving the National Space Council,Donald J. Trump,Executive Orders,National security,
02-12-2020,"Strengthening National Resilience Through Responsible Use of Positioning, Navigation, and Timing Services",Donald J. Trump,Executive Orders,Tech,
01-31-2020,Combating Human Trafficking and Online Child Exploitation in the United States,Donald J. Trump,Executive Orders,Criminal justice,
01-31-2020,"Ensuring Safe and Lawful E-Commerce for United States Consumers, Businesses, Government Supply Chains, and Intellectual Property Rights",Donald J. Trump,Executive Orders,Tech,
01-10-2020,Imposing Sanctions With Respect to Additional Sectors of Iran,Donald J. Trump,Executive Orders,National security,
12-26-2019,Adjustments of Certain Rates of Pay,Donald J. Trump,Executive Orders,Labor,
12-17-2019,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2019",Donald J. Trump,Executive Orders,Administrative work,
12-11-2019,Combating Anti-Semitism,Donald J. Trump,Executive Orders,Events,
11-26-2019,Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,Donald J. Trump,Executive Orders,Criminal justice,
10-31-2019,Improving Federal Contractor Operations by Revoking Executive Order 13495,Donald J. Trump,Executive Orders,Labor,
10-28-2019,Commission on Law Enforcement and the Administration of Justice,Donald J. Trump,Executive Orders,Criminal justice,
10-22-2019,President's Council of Advisors on Science and Technology,Donald J. Trump,Executive Orders,Tech,
10-14-2019,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Syria,Donald J. Trump,Executive Orders,National security,
10-10-2019,Increasing Government Accountability for Administrative Actions by Reinvigorating Administrative PAYGO,Donald J. Trump,Executive Orders,Economy,
10-09-2019,Promoting the Rule of Law Through Improved Agency Guidance Documents,Donald J. Trump,Executive Orders,Administrative work,
10-09-2019,Promoting the Rule of Law Through Transparency and Fairness in Civil Administrative Enforcement and Adjudication,Donald J. Trump,Executive Orders,Administrative work,
10-03-2019,Protecting and Improving Medicare for Our Nation's Seniors,Donald J. Trump,Executive Orders,Health care,
09-27-2019,Continuance of Certain Federal Advisory Committees,Donald J. Trump,Executive Orders,Administrative work,
09-26-2019,Enhancing State and Local Involvement in Refugee Resettlement,Donald J. Trump,Executive Orders,Labor,
09-19-2019,Modernizing Influenza Vaccines in the United States To Promote National Security and Public Health,Donald J. Trump,Executive Orders,Health care,
09-09-2019,Modernizing Sanctions To Combat Terrorism,Donald J. Trump,Executive Orders,National security,
08-30-2019,Establishing the National Quantum Initiative Advisory Committee,Donald J. Trump,Executive Orders,Tech,
08-05-2019,Blocking Property of the Government of Venezuela,Donald J. Trump,Executive Orders,National security,
08-01-2019,Administration of Proliferation Sanctions and Amendment of Executive Order 12851,Donald J. Trump,Executive Orders,National security,
07-26-2019,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Mali,Donald J. Trump,Executive Orders,National security,
07-15-2019,"Maximizing Use of American-Made Goods, Products, and Materials",Donald J. Trump,Executive Orders,Economy,
07-11-2019,Collecting Information About Citizenship Status in Connection With the Decennial Census,Donald J. Trump,Executive Orders,Labor,
07-10-2019,Advancing American Kidney Health,Donald J. Trump,Executive Orders,Health care,
06-25-2019,Establishing a White House Council on Eliminating Regulatory Barriers to Affordable Housing,Donald J. Trump,Executive Orders,Economy,
06-24-2019,Imposing Sanctions With Respect to Iran,Donald J. Trump,Executive Orders,National security,
06-24-2019,Improving Price and Quality Transparency in American Healthcare To Put Patients First,Donald J. Trump,Executive Orders,Health care,
06-14-2019,Evaluating and Improving the Utility of Federal Advisory Committees,Donald J. Trump,Executive Orders,Administrative work,
06-11-2019,Modernizing the Regulatory Framework for Agricultural Biotechnology Products,Donald J. Trump,Executive Orders,Tech,
05-15-2019,Securing the Information and Communications Technology and Services Supply Chain,Donald J. Trump,Executive Orders,Tech,
05-13-2019,Economic Empowerment of Asian Americans and Pacific Islanders,Donald J. Trump,Executive Orders,Economy,
05-08-2019,"Imposing Sanctions With Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran",Donald J. Trump,Executive Orders,National security,
05-02-2019,America's Cybersecurity Workforce,Donald J. Trump,Executive Orders,Tech,
04-24-2019,Transferring Responsibility for Background Investigations to the Department of Defense,Donald J. Trump,Executive Orders,National security,
04-10-2019,Promoting Energy Infrastructure and Economic Growth,Donald J. Trump,Executive Orders,Energy,
04-10-2019,Issuance of Permits With Respect to Facilities and Land Transportation Crossings at the International Boundaries of the United States,Donald J. Trump,Executive Orders,Energy,
03-28-2019,Adjustments of Certain Rates of Pay,Donald J. Trump,Executive Orders,Economy,
03-26-2019,Coordinating National Resilience to Electromagnetic Pulses,Donald J. Trump,Executive Orders,National security,
03-21-2019,"Improving Free Inquiry, Transparency, and Accountability at Colleges and Universities",Donald J. Trump,Executive Orders,Events,
03-15-2019,Taking Additional Steps to Address the National Emergency With Respect to Significant Transnational Criminal Organizations,Donald J. Trump,Executive Orders,National security,
03-06-2019,Revocation of Reporting Requirement,Donald J. Trump,Executive Orders,National security,
03-05-2019,National Roadmap To Empower Veterans and End Suicide,Donald J. Trump,Executive Orders,National security,
03-04-2019,Supporting the Transition of Active Duty Servicemembers and Military Veterans Into the Merchant Marine,Donald J. Trump,Executive Orders,National security,
02-11-2019,Maintaining American Leadership in Artificial Intelligence,Donald J. Trump,Executive Orders,Tech,
01-31-2019,Strengthening Buy-American Preferences for Infrastructure Projects,Donald J. Trump,Executive Orders,Economy,
01-25-2019,Taking Additional Steps To Address the National Emergency With Respect to Venezuela,Donald J. Trump,Executive Orders,National security,
12-28-2018,Adjustments of Certain Rates of Pay,Donald J. Trump,Executive Orders,Economy,
12-21-2018,"Promoting Active Management of America's Forests, Rangelands, and Other Federal Lands To Improve Conditions and Reduce Wildfire Risk",Donald J. Trump,Executive Orders,Energy,
12-18-2018,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2018",Donald J. Trump,Executive Orders,Administrative work,
12-12-2018,Establishing the White House Opportunity and Revitalization Council,Donald J. Trump,Executive Orders,Economy,
12-01-2018,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 5, 2018",Donald J. Trump,Executive Orders,Administrative work,
11-27-2018,Blocking Property of Certain Persons Contributing to the Situation in Nicaragua,Donald J. Trump,Executive Orders,National security,
11-01-2018,Blocking Property of Additional Persons Contributing to the Situation in Venezuela,Donald J. Trump,Executive Orders,National security,
09-20-2018,Authorizing the Implementation of Certain Sanctions Set Forth in the Countering America's Adversaries Through Sanctions Act,Donald J. Trump,Executive Orders,National security,
09-12-2018,Imposing Certain Sanctions in the Event of Foreign Interference in a United States Election,Donald J. Trump,Executive Orders,National security,
08-31-2018,Strengthening Retirement Security in America,Donald J. Trump,Executive Orders,Labor,
08-06-2018,Reimposing Certain Sanctions With Respect to Iran,Donald J. Trump,Executive Orders,National security,
07-19-2018,Establishing the President's National Council for the American Worker,Donald J. Trump,Executive Orders,Labor,
07-11-2018,Establishment of the Task Force on Market Integrity and Consumer Fraud,Donald J. Trump,Executive Orders,Economy,
07-10-2018,"Establishing an Exception to Competitive Examining Rules for Appointment to Certain Positions in the United States Marshals Service, Department of Justice",Donald J. Trump,Executive Orders,Labor,
07-10-2018,Excepting Administrative Law Judges From the Competitive Service,Donald J. Trump,Executive Orders,Labor,
06-20-2018,Affording Congress an Opportunity To Address Family Separation,Donald J. Trump,Executive Orders,Labor,
06-19-2018,"Ocean Policy To Advance the Economic, Security, and Environmental Interests of the United States",Donald J. Trump,Executive Orders,Economy,
05-25-2018,"Developing Efficient, Effective, and Cost-Reducing Approaches to Federal Sector Collective Bargaining",Donald J. Trump,Executive Orders,Economy,
05-25-2018,"Ensuring Transparency, Accountability, and Efficiency in Taxpayer-Funded Union Time Use",Donald J. Trump,Executive Orders,Labor,
05-25-2018,Exemption From Executive Order 13658 for Recreational Services on Federal Lands,Donald J. Trump,Executive Orders,Energy,
05-25-2018,Promoting Accountability and Streamlining Removal Procedures Consistent With Merit System Principles,Donald J. Trump,Executive Orders,Labor,
05-21-2018,Prohibiting Certain Additional Transactions With Respect to Venezuela,Donald J. Trump,Executive Orders,National security,
05-17-2018,Efficient Federal Operations,Donald J. Trump,Executive Orders,Energy,
05-15-2018,Enhancing the Effectiveness of Agency Chief Information Officers,Donald J. Trump,Executive Orders,Tech,
05-09-2018,Enhancing Noncompetitive Civil Service Appointments of Military Spouses,Donald J. Trump,Executive Orders,National security,
05-03-2018,Establishment of a White House Faith and Opportunity Initiative,Donald J. Trump,Executive Orders,Events,
04-20-2018,Delegation of Authority To Approve Certain Military Decorations,Donald J. Trump,Executive Orders,National security,
04-12-2018,Task Force on the United States Postal System,Donald J. Trump,Executive Orders,Administrative work,
04-10-2018,Reducing Poverty in America by Promoting Opportunity and Economic Mobility,Donald J. Trump,Executive Orders,Economy,
03-19-2018,Taking Additional Steps to Address the Situation in Venezuela,Donald J. Trump,Executive Orders,National security,
03-07-2018,Federal Interagency Council on Crime Prevention and Improving Reentry,Donald J. Trump,Executive Orders,Criminal justice,
03-01-2018,"2018 Amendments to the Manual for Courts-Martial, United States",Donald J. Trump,Executive Orders,National security,
02-26-2018,"President's Council on Sports, Fitness, and Nutrition",Donald J. Trump,Executive Orders,Events,
01-30-2018,Protecting America Through Lawful Detention of Terrorists,Donald J. Trump,Executive Orders,National security,
01-09-2018,Supporting Our Veterans During Their Transition From Uniformed Service to Civilian Life,Donald J. Trump,Executive Orders,National security,
01-08-2018,Streamlining and Expediting Requests To Locate Broadband Facilities in Rural America,Donald J. Trump,Executive Orders,Tech,
01-03-2018,Termination of Presidential Advisory Commission on Election Integrity,Donald J. Trump,Executive Orders,National security,
12-22-2017,Adjustments of Certain Rates of Pay,Donald J. Trump,Executive Orders,National security,
12-20-2017,A Federal Strategy To Ensure Secure and Reliable Supplies of Critical Minerals,Donald J. Trump,Executive Orders,Energy,
12-20-2017,Blocking the Property of Persons Involved in Serious Human Rights Abuse or Corruption,Donald J. Trump,Executive Orders,National security,
12-08-2017,Revising the Seal for the National Credit Union Administration,Donald J. Trump,Executive Orders,Economy,
10-24-2017,Resuming the United States Refugee Admissions Program With Enhanced Vetting Capabilities,Donald J. Trump,Executive Orders,Labor,
10-20-2017,Amending Executive Order 13223,Donald J. Trump,Executive Orders,National security,
10-12-2017,Promoting Healthcare Choice and Competition Across the United States,Donald J. Trump,Executive Orders,Health care,
