date,title,president,type,category,Category ideas?
05-08-2020,"Mother's Day, 2020",Donald J. Trump,Proclamations,Events,
05-15-2020,"Armed Forces Day, 2020",Donald J. Trump,Proclamations,Events,
05-15-2020,"National Safe Boating Week, 2020",Donald J. Trump,Proclamations,Events,
05-15-2020,"Emergency Medical Services Week, 2020",Donald J. Trump,Proclamations,Events,
05-15-2020,"World Trade Week, 2020",Donald J. Trump,Proclamations,Events,
05-21-2020,"National Maritime Day, 2020",Donald J. Trump,Proclamations,Events,
05-21-2020,Honoring the Victims of the Novel Coronavirus Pandemic,Donald J. Trump,Proclamations,Events,
05-21-2020,"Prayer for Peace, Memorial Day, 2020",Donald J. Trump,Proclamations,Events,
05-24-2020,Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus,Donald J. Trump,Proclamations,Labor,
05-25-2020,"Amendment to Proclamation of May 24, 2020, Suspending Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting 2019 Novel Coronavirus",Donald J. Trump,Proclamations,Labor,
05-29-2020,Suspension of Entry as Nonimmigrants of Certain Students and Researchers From the People's Republic of China,Donald J. Trump,Proclamations,Labor,
05-29-2020,"African-American Music Appreciation Month, 2020",Donald J. Trump,Proclamations,Events,
05-29-2020,"Great Outdoors Month, 2020",Donald J. Trump,Proclamations,Events,
05-29-2020,"National Caribbean-American Heritage Month, 2020",Donald J. Trump,Proclamations,Events,
05-29-2020,"National Homeownership Month, 2020",Donald J. Trump,Proclamations,Events,
05-29-2020,"National Ocean Month, 2020",Donald J. Trump,Proclamations,Events,
06-05-2020,Modifying the Northeast Canyons and Seamounts Marine National Monument,Donald J. Trump,Proclamations,Energy,
06-12-2020,"Flag Day and National Flag Week, 2020",Donald J. Trump,Proclamations,Events,
06-19-2020,"Father's Day, 2020",Donald J. Trump,Proclamations,Events,
06-22-2020,Suspension of Entry of Immigrants and Nonimmigrants Who Present a Risk to the United States Labor Market During the Economic Recovery Following the 2019 Novel Coronavirus Outbreak,Donald J. Trump,Proclamations,Labor,
06-29-2020,To Take Certain Actions Under the United States- Mexico-Canada Agreement Implementation Act and for Other Purposes,Donald J. Trump,Proclamations,Economy,
06-29-2020,Amendment to Proclamation 10052,Donald J. Trump,Proclamations,Labor,
08-06-2020,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
08-14-2020,"National Employer Support of the Guard and Reserve Week, 2020",Donald J. Trump,Proclamations,Events,
07-17-2020,"Captive Nations Week, 2020",Donald J. Trump,Proclamations,Events,
07-24-2020,"Anniversary of the Americans With Disabilities Act, 2020",Donald J. Trump,Proclamations,Events,
07-24-2020,"National Korean War Veterans Armistice Day, 2020",Donald J. Trump,Proclamations,Events,
01-31-2020,"Career and Technical Education Month, 2020",Donald J. Trump,Proclamations,Events,
07-18-2020,Death of John Lewis,Donald J. Trump,Proclamations,Events,
08-18-2020,100th Anniversary of the Ratification of the Nineteenth Amendment,Donald J. Trump,Proclamations,Events,
10-30-2020,To Modify Duty-Free Treatment Under the Generalized System of Preferences and for Other Purposes,Donald J. Trump,Proclamations,Economy,
10-16-2020,"National Character Counts Week, 2020",Donald J. Trump,Proclamations,Events,
10-16-2020,"National Forest Products Week, 2020",Donald J. Trump,Proclamations,Events,
08-25-2020,"Women's Equality Day, 2020",Donald J. Trump,Proclamations,Events,
08-28-2020,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
09-09-2020,Revision to United States Marine Scientific Research Policy,Donald J. Trump,Proclamations,Energy,
09-10-2020,"Patriot Day, 2020",Donald J. Trump,Proclamations,Events,
10-03-2020,"Fire Prevention Week, 2020",Donald J. Trump,Proclamations,Events,
10-03-2020,"Made in America Day and Made in America Week, 2020",Donald J. Trump,Proclamations,Events,
10-03-2020,"Child Health Day, 2020",Donald J. Trump,Proclamations,Events,
10-05-2020,"German-American Day, 2020",Donald J. Trump,Proclamations,Events,
09-03-2020,"National Days of Prayer and Remembrance, 2020",Donald J. Trump,Proclamations,Events,
10-23-2020,"United Nations Day, 2020",Donald J. Trump,Proclamations,Events,
10-27-2020,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
10-30-2020,"Critical Infrastructure Security and Resilience Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National Adoption Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National American History and Founders Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National Entrepreneurship Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National Family Caregivers Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National Native American Heritage Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National Veterans and Military Families Month, 2020",Donald J. Trump,Proclamations,Events,
10-30-2020,"National Day of Remembrance for Americans Killed by Illegal Aliens, 2020",Donald J. Trump,Proclamations,Events,
09-17-2020,"National POW/MIA Recognition Day, 2020",Donald J. Trump,Proclamations,Events,
09-18-2020,"National Farm Safety and Health Week, 2020",Donald J. Trump,Proclamations,Events,
09-18-2020,"National Gang Violence Prevention Week, 2020",Donald J. Trump,Proclamations,Events,
09-18-2020,Death of Ruth Bader Ginsburg,Donald J. Trump,Proclamations,Events,
09-19-2020,"National Small Business Week, 2020",Donald J. Trump,Proclamations,Events,
09-04-2020,"Labor Day, 2020",Donald J. Trump,Proclamations,Events,
09-11-2020,"Minority Enterprise Development Week, 2020",Donald J. Trump,Proclamations,Events,
09-11-2020,"Prescription Opioid and Heroin Epidemic Awareness Week, 2020",Donald J. Trump,Proclamations,Events,
09-11-2020,"National Historically Black Colleges and Universities Week, 2020",Donald J. Trump,Proclamations,Events,
09-14-2020,"National Hispanic Heritage Month, 2020",Donald J. Trump,Proclamations,Events,
09-17-2020,"Constitution Day, Citizenship Day, and Constitution Week, 2020",Donald J. Trump,Proclamations,Events,
08-31-2020,"National Alcohol and Drug Addiction Recovery Month, 2020",Donald J. Trump,Proclamations,Events,
08-31-2020,"National Childhood Cancer Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
08-31-2020,"National Preparedness Month, 2020",Donald J. Trump,Proclamations,Events,
08-31-2020,"National Sickle Cell Disease Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
09-25-2020,"Gold Star Mother's and Family's Day, 2020",Donald J. Trump,Proclamations,Events,
09-25-2020,"National Hunting and Fishing Day, 2020",Donald J. Trump,Proclamations,Events,
10-06-2020,Birthday of Founding Father Caesar Rodney,Donald J. Trump,Proclamations,Events,
10-08-2020,"Leif Erikson Day, 2020",Donald J. Trump,Proclamations,Events,
09-30-2020,"National Breast Cancer Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
09-30-2020,"National Cybersecurity Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
09-30-2020,"National Disability Employment Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
09-30-2020,"National Domestic Violence Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
09-30-2020,"National Energy Awareness Month, 2020",Donald J. Trump,Proclamations,Events,
09-30-2020,"National Substance Abuse Prevention Month, 2020",Donald J. Trump,Proclamations,Events,
10-01-2020,"National Manufacturing Day, 2020",Donald J. Trump,Proclamations,Events,
10-14-2020,"Blind Americans Equality Day, 2020",Donald J. Trump,Proclamations,Events,
10-09-2020,"National School Lunch Week, 2020",Donald J. Trump,Proclamations,Events,
10-09-2020,"General Pulaski Memorial Day, 2020",Donald J. Trump,Proclamations,Events,
10-09-2020,"Columbus Day, 2020",Donald J. Trump,Proclamations,Events,
10-10-2020,To Further Facilitate Positive Adjustment to Competition From Imports of Certain Crystalline Silicon Photovoltaic Cells (Whether or Not Partially or Fully Assembled Into Other Products),Donald J. Trump,Proclamations,Economy,
11-06-2020,"National Apprenticeship Week, 2020",Donald J. Trump,Proclamations,Events,
11-06-2020,"World Freedom Day, 2020",Donald J. Trump,Proclamations,Events,
11-10-2020,"Veterans Day, 2020",Donald J. Trump,Proclamations,Events,
11-13-2020,"American Education Week, 2020",,Proclamations,Events,
10-14-2020,"Blind Americans Equality Day, 2020",,Proclamations,Events,
10-09-2020,"National School Lunch Week, 2020",,Proclamations,Events,
10-09-2020,"General Pulaski Memorial Day, 2020",,Proclamations,Events,
10-09-2020,"Columbus Day, 2020",,Proclamations,Events,
10-10-2020,To Further Facilitate Positive Adjustment to Competition From Imports of Certain Crystalline Silicon Photovoltaic Cells (Whether or Not Partially or Fully Assembled Into Other Products),,Proclamations,Tech,
10-06-2020,Birthday of Founding Father Caesar Rodney,,Proclamations,Events,
10-08-2020,"Leif Erikson Day, 2020",,Proclamations,Events,
09-30-2020,"National Breast Cancer Awareness Month, 2020",,Proclamations,Events,
09-30-2020,"National Cybersecurity Awareness Month, 2020",,Proclamations,Events,
09-30-2020,"National Disability Employment Awareness Month, 2020",,Proclamations,Events,
09-30-2020,"National Domestic Violence Awareness Month, 2020",,Proclamations,Events,
09-30-2020,"National Energy Awareness Month, 2020",,Proclamations,Events,
09-30-2020,"National Substance Abuse Prevention Month, 2020",,Proclamations,Events,
10-01-2020,"National Manufacturing Day, 2020",,Proclamations,Events,
11-06-2020,"National Apprenticeship Week, 2020",,Proclamations,Events,
11-06-2020,"World Freedom Day, 2020",,Proclamations,Events,
08-14-2020,"National Employer Support of the Guard and Reserve Week, 2020",,Proclamations,Events,
09-17-2020,"National POW/MIA Recognition Day, 2020",,Proclamations,Events,
09-18-2020,"National Farm Safety and Health Week, 2020",,Proclamations,Events,
09-18-2020,"National Gang Violence Prevention Week, 2020",,Proclamations,Events,
09-18-2020,Death of Ruth Bader Ginsburg,,Proclamations,Events,
09-19-2020,"National Small Business Week, 2020",,Proclamations,Events,
09-04-2020,"Labor Day, 2020",,Proclamations,Events,
09-11-2020,"Minority Enterprise Development Week, 2020",,Proclamations,Events,
09-11-2020,"Prescription Opioid and Heroin Epidemic Awareness Week, 2020",,Proclamations,Events,
09-11-2020,"National Historically Black Colleges and Universities Week, 2020",,Proclamations,Events,
09-14-2020,"National Hispanic Heritage Month, 2020",,Proclamations,Events,
09-17-2020,"Constitution Day, Citizenship Day, and Constitution Week, 2020",,Proclamations,Events,
08-31-2020,"National Alcohol and Drug Addiction Recovery Month, 2020",,Proclamations,Events,
08-31-2020,"National Childhood Cancer Awareness Month, 2020",,Proclamations,Events,
08-31-2020,"National Preparedness Month, 2020",,Proclamations,Events,
08-31-2020,"National Sickle Cell Disease Awareness Month, 2020",,Proclamations,Events,
09-25-2020,"Gold Star Mother's and Family's Day, 2020",,Proclamations,Events,
09-25-2020,"National Hunting and Fishing Day, 2020",,Proclamations,Events,
11-30-2020,"National Impaired Driving Prevention Month, 2020",,Proclamations,Events,
11-30-2020,"World AIDS Day, 2020",,Proclamations,Events,
11-20-2020,"National Family Week, 2020",,Proclamations,Events,
11-25-2020,"Thanksgiving Day, 2020",,Proclamations,Events,
12-04-2020,"Human Rights Day, Bill of Rights Day, and Human Rights Week, 2020",,Proclamations,Events,
12-04-2020,"National Pearl Harbor Remembrance Day, 2020",,Proclamations,Events,
12-04-2020,Recognizing the Sovereignty of the Kingdom of Morocco Over the Western Sahara,,Proclamations,Events,
01-15-2019,"Religious Freedom Day, 2019",Donald J. Trump,Proclamations,Events,
01-18-2019,"National School Choice Week, 2019",Donald J. Trump,Proclamations,Events,
01-18-2019,"National Sanctity of Human Life Day, 2019",Donald J. Trump,Proclamations,Events,
01-18-2019,"Martin Luther King, Jr., Federal Holiday, 2019",Donald J. Trump,Proclamations,Events,
01-31-2019,"American Heart Month, 2019",Donald J. Trump,Proclamations,Events,
01-31-2019,"National African American History Month, 2019",Donald J. Trump,Proclamations,Events,
02-07-2019,Addressing Mass Migration Through the Southern Border of the United States,Donald J. Trump,Proclamations,Labor,
02-08-2019,"Death of John David Dingell, Jr.",Donald J. Trump,Proclamations,Events,
02-15-2019,Declaring a National Emergency Concerning the Southern Border of the United States,Donald J. Trump,Proclamations,National security,
03-01-2019,"American Red Cross Month, 2019",Donald J. Trump,Proclamations,Events,
03-01-2019,"Irish-American Heritage Month, 2019",Donald J. Trump,Proclamations,Events,
03-01-2019,"Women's History Month, 2019",Donald J. Trump,Proclamations,Events,
03-01-2019,"National Consumer Protection Week, 2019",Donald J. Trump,Proclamations,Events,
03-13-2019,"National Agriculture Day, 2019",Donald J. Trump,Proclamations,Events,
03-15-2019,"National Poison Prevention Week, 2019",Donald J. Trump,Proclamations,Events,
03-18-2019,"Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2019",Donald J. Trump,Proclamations,Events,
03-25-2019,Recognizing the Golan Heights as Part of the State of Israel,Donald J. Trump,Proclamations,National security,
03-29-2019,"Cancer Control Month, 2019",Donald J. Trump,Proclamations,Events,
03-29-2019,"National Child Abuse Prevention Month, 2019",Donald J. Trump,Proclamations,Events,
03-29-2019,"National Donate Life Month, 2019",Donald J. Trump,Proclamations,Events,
03-29-2019,"National Sexual Assault Awareness and Prevention Month, 2019",Donald J. Trump,Proclamations,Events,
03-29-2019,"Second Chance Month, 2019",Donald J. Trump,Proclamations,Events,
04-01-2019,"World Autism Awareness Day, 2019",Donald J. Trump,Proclamations,Events,
04-05-2019,"National Crime Victims' Rights Week, 2019",Donald J. Trump,Proclamations,Events,
04-05-2019,"National Volunteer Week, 2019",Donald J. Trump,Proclamations,Events,
04-08-2019,"National Former Prisoner of War Recognition Day, 2019",Donald J. Trump,Proclamations,Events,
04-12-2019,"Pan American Day and Pan American Week, 2019",Donald J. Trump,Proclamations,Events,
04-15-2019,"Education and Sharing Day, U.S.A., 2019",Donald J. Trump,Proclamations,Events,
04-19-2019,"National Park Week, 2019",Donald J. Trump,Proclamations,Events,
04-25-2019,"World Intellectual Property Day, 2019",Donald J. Trump,Proclamations,Events,
04-26-2019,"Days of Remembrance of Victims of the Holocaust, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"Asian American and Pacific Islander Heritage Month, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"Jewish American Heritage Month, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"National Foster Care Month, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"National Physical Fitness and Sports Month, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"Older Americans Month, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"Law Day, U.S.A., 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"Loyalty Day, 2019",Donald J. Trump,Proclamations,Events,
04-30-2019,"National Day of Prayer, 2019",Donald J. Trump,Proclamations,Events,
05-01-2019,"National Mental Health Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
05-03-2019,"National Hurricane Preparedness Week, 2019",Donald J. Trump,Proclamations,Events,
05-03-2019,"National Small Business Week, 2019",Donald J. Trump,Proclamations,Events,
05-03-2019,"Public Service Recognition Week, 2019",Donald J. Trump,Proclamations,Events,
05-03-2019,"Missing and Murdered American Indians and Alaska Natives Awareness Day, 2019",Donald J. Trump,Proclamations,Events,
05-08-2019,Addressing Mass Migration Through the Southern Border of the United States,Donald J. Trump,Proclamations,Labor,
05-09-2019,"Military Spouse Day, 2019",Donald J. Trump,Proclamations,Events,
05-10-2019,"National Charter Schools Week, 2019",Donald J. Trump,Proclamations,Events,
05-10-2019,"National Defense Transportation Day and National Transportation Week, 2019",Donald J. Trump,Proclamations,Events,
05-10-2019,"Peace Officers Memorial Day and Police Week, 2019",Donald J. Trump,Proclamations,Events,
05-10-2019,"Mother's Day, 2019",Donald J. Trump,Proclamations,Events,
05-16-2019,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
05-16-2019,To Modify the List of Beneficiary Developing Countries Under the Trade Act of 1974,Donald J. Trump,Proclamations,Economy,
05-17-2019,Adjusting Imports of Automobiles and Automobile Parts Into the United States,Donald J. Trump,Proclamations,Economy,
05-17-2019,"National Safe Boating Week, 2019",Donald J. Trump,Proclamations,Events,
05-17-2019,"Emergency Medical Services Week, 2019",Donald J. Trump,Proclamations,Events,
05-17-2019,"World Trade Week, 2019",Donald J. Trump,Proclamations,Events,
05-17-2019,"Armed Forces Day, 2019",Donald J. Trump,Proclamations,Events,
05-19-2019,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
05-19-2019,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
05-20-2019,"National Maritime Day, 2019",Donald J. Trump,Proclamations,Events,
05-24-2019,"Prayer for Peace, Memorial Day, 2019",Donald J. Trump,Proclamations,Events,
05-31-2019,"African-American Music Appreciation Month, 2019",Donald J. Trump,Proclamations,Events,
05-31-2019,"Great Outdoors Month, 2019",Donald J. Trump,Proclamations,Events,
05-31-2019,"National Caribbean-American Heritage Month, 2019",Donald J. Trump,Proclamations,Events,
05-31-2019,"National Homeownership Month, 2019",Donald J. Trump,Proclamations,Events,
05-31-2019,"National Ocean Month, 2019",Donald J. Trump,Proclamations,Events,
05-31-2019,To Modify the List of Beneficiary Developing Countries Under the Trade Act of 1974,Donald J. Trump,Proclamations,Economy,
06-01-2019,"Honoring the Victims of the Tragedy in Virginia Beach, Virginia",Donald J. Trump,Proclamations,Events,
06-06-2019,National Day of Remembrance of the 75th Anniversary of D-Day,Donald J. Trump,Proclamations,Events,
06-07-2019,"Flag Day and National Flag Week, 2019",Donald J. Trump,Proclamations,Events,
06-14-2019,"Father's Day, 2019",Donald J. Trump,Proclamations,Events,
07-01-2019,"Pledge to America's Workers Month, 2019",Donald J. Trump,Proclamations,Events,
07-14-2019,"Made in America Day and Made in America Week, 2019",Donald J. Trump,Proclamations,Events,
07-17-2019,Death of John Paul Stevens,Donald J. Trump,Proclamations,Events,
07-19-2019,"Captive Nations Week, 2019",Donald J. Trump,Proclamations,Events,
07-19-2019,50th Anniversary Observance of the Apollo 11 Lunar Landing,Donald J. Trump,Proclamations,Events,
07-25-2019,"Anniversary of the Americans with Disabilities Act, 2019",Donald J. Trump,Proclamations,Events,
07-26-2019,"National Korean War Veterans Armistice Day, 2019",Donald J. Trump,Proclamations,Events,
08-04-2019,"Honoring the Victims of the Tragedies in El Paso, Texas, and Dayton, Ohio",Donald J. Trump,Proclamations,Events,
08-16-2019,"National Employer Support of the Guard and Reserve Week, 2019",Donald J. Trump,Proclamations,Events,
08-23-2019,"Women's Equality Day, 2019",Donald J. Trump,Proclamations,Events,
08-30-2019,"National Alcohol and Drug Addiction Recovery Month, 2019",Donald J. Trump,Proclamations,Events,
08-30-2019,"National Childhood Cancer Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
08-30-2019,"National Preparedness Month, 2019",Donald J. Trump,Proclamations,Events,
08-30-2019,"Labor Day, 2019",Donald J. Trump,Proclamations,Events,
09-05-2019,"National Days of Prayer and Remembrance, 2019",Donald J. Trump,Proclamations,Events,
09-06-2019,"National Historically Black Colleges and Universities Week, 2019",Donald J. Trump,Proclamations,Events,
09-06-2019,"Opioid Crisis Awareness Week, 2019",Donald J. Trump,Proclamations,Events,
09-09-2019,"Minority Enterprise Development Week, 2019",Donald J. Trump,Proclamations,Events,
09-10-2019,"Patriot Day, 2019",Donald J. Trump,Proclamations,Events,
09-13-2019,"National Farm Safety and Health Week, 2019",Donald J. Trump,Proclamations,Events,
09-13-2019,"National Hispanic Heritage Month, 2019",Donald J. Trump,Proclamations,Events,
09-13-2019,"National Gang Violence Prevention Week, 2019",Donald J. Trump,Proclamations,Events,
09-16-2019,"Constitution Day, Citizenship Day, and Constitution Week, 2019",Donald J. Trump,Proclamations,Events,
09-19-2019,"National POW/MIA Recognition Day, 2019",Donald J. Trump,Proclamations,Events,
09-25-2019,Suspension of Entry as Immigrants and Nonimmigrants of Persons Responsible for Policies or Actions That Threaten Venezuela's Democratic Institutions,Donald J. Trump,Proclamations,Labor,
09-25-2019,Suspension of Entry as Immigrants and Nonimmigrants of Senior Officials of the Government of Iran,Donald J. Trump,Proclamations,Labor,
09-27-2019,"National Domestic Violence Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
09-27-2019,"Gold Star Mother's and Family's Day, 2019",Donald J. Trump,Proclamations,Events,
09-27-2019,"National Hunting and Fishing Day, 2019",Donald J. Trump,Proclamations,Events,
09-30-2019,"National Breast Cancer Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
09-30-2019,"National Cybersecurity Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
09-30-2019,"National Disability Employment Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
09-30-2019,"National Energy Awareness Month, 2019",Donald J. Trump,Proclamations,Events,
09-30-2019,"National Substance Abuse Prevention Month, 2019",Donald J. Trump,Proclamations,Events,
10-03-2019,"National Manufacturing Day, 2019",Donald J. Trump,Proclamations,Events,
10-04-2019,"Fire Prevention Week, 2019",Donald J. Trump,Proclamations,Events,
10-04-2019,"German-American Day, 2019",Donald J. Trump,Proclamations,Events,
10-04-2019,"Child Health Day, 2019",Donald J. Trump,Proclamations,Events,
10-04-2019,"Suspension of Entry of Immigrants Who Will Financially Burden the United States Healthcare System, in Order To Protect the Availability of Healthcare Benefits for Americans",Donald J. Trump,Proclamations,Labor,
10-08-2019,"Leif Erikson Day, 2019",Donald J. Trump,Proclamations,Events,
10-10-2019,"General Pulaski Memorial Day, 2019",Donald J. Trump,Proclamations,Events,
10-11-2019,"National School Lunch Week, 2019",Donald J. Trump,Proclamations,Events,
10-11-2019,"Columbus Day, 2019",Donald J. Trump,Proclamations,Events,
10-11-2019,"Blind Americans Equality Day, 2019",Donald J. Trump,Proclamations,Events,
10-17-2019,Death of Elijah E. Cummings,Donald J. Trump,Proclamations,Events,
10-18-2019,"National Character Counts Week, 2019",Donald J. Trump,Proclamations,Events,
10-18-2019,"National Forest Products Week, 2019",Donald J. Trump,Proclamations,Events,
10-23-2019,"United Nations Day, 2019",Donald J. Trump,Proclamations,Events,
10-25-2019,To Modify Duty-Free Treatment Under the Generalized System of Preferences and for Other Purposes,Donald J. Trump,Proclamations,Economy,
10-31-2019,"Critical Infrastructure Security and Resilience Month, 2019",Donald J. Trump,Proclamations,Events,
10-31-2019,"National Adoption Month, 2019",Donald J. Trump,Proclamations,Events,
10-31-2019,"National American History and Founders Month, 2019",Donald J. Trump,Proclamations,Events,
10-31-2019,"National Entrepreneurship Month, 2019",Donald J. Trump,Proclamations,Events,
10-31-2019,"National Family Caregivers Month, 2019",Donald J. Trump,Proclamations,Events,
10-31-2019,"National Native American Heritage Month, 2019",Donald J. Trump,Proclamations,Events,
10-31-2019,"National Veterans and Military Families Month, 2019",Donald J. Trump,Proclamations,Events,
11-07-2019,"Veterans Day, 2019",Donald J. Trump,Proclamations,Events,
11-08-2019,"National Apprenticeship Week, 2019",Donald J. Trump,Proclamations,Events,
11-08-2019,"World Freedom Day, 2019",Donald J. Trump,Proclamations,Events,
11-15-2019,"American Education Week, 2019",Donald J. Trump,Proclamations,Events,
11-22-2019,"National Family Week, 2019",Donald J. Trump,Proclamations,Events,
11-27-2019,"Thanksgiving Day, 2019",Donald J. Trump,Proclamations,Events,
11-27-2019,"National Impaired Driving Prevention Month, 2019",Donald J. Trump,Proclamations,Events,
11-27-2019,"World AIDS Day, 2019",Donald J. Trump,Proclamations,Events,
12-06-2019,"National Pearl Harbor Remembrance Day, 2019",Donald J. Trump,Proclamations,Events,
12-09-2019,"Human Rights Day, Bill of Rights Day, and Human Rights Week, 2019",Donald J. Trump,Proclamations,Events,
12-16-2019,"Wright Brothers Day, 2019",Donald J. Trump,Proclamations,Events,
12-26-2019,To Take Certain Actions Under the African Growth and Opportunity Act and for Other Purposes,Donald J. Trump,Proclamations,Economy,
12-31-2019,"National Slavery and Human Trafficking Prevention Month, 2020",Donald J. Trump,Proclamations,Events,
01-12-2018,"Martin Luther King, Jr., Federal Holiday, 2018",Donald J. Trump,Proclamations,Events,
01-16-2018,"Religious Freedom Day, 2018",Donald J. Trump,Proclamations,Events,
01-19-2018,"National Sanctity of Human Life Day, 2018",Donald J. Trump,Proclamations,Events,
01-22-2018,"National School Choice Week, 2018",Donald J. Trump,Proclamations,Events,
01-23-2018,To Facilitate Positive Adjustment to Competition From Imports of Certain Crystalline Silicon Photovoltaic Cells (Whether or Not Partially or Fully Assembled Into Other Products) and for Other Purposes,Donald J. Trump,Proclamations,Economy,
01-23-2018,To Facilitate Positive Adjustment to Competition From Imports of Large Residential Washers,Donald J. Trump,Proclamations,Economy,
01-31-2018,"American Heart Month, 2018",Donald J. Trump,Proclamations,Events,
01-31-2018,"National African American History Month, 2018",Donald J. Trump,Proclamations,Events,
02-15-2018,"Honoring the Victims of the Tragedy in Parkland, Florida",Donald J. Trump,Proclamations,Events,
02-21-2018,Death of Billy Graham,Donald J. Trump,Proclamations,Events,
02-22-2018,Modifying and Continuing the National Emergency With Respect to Cuba and Continuing To Authorize the Regulation of the Anchorage and Movement of Vessels,Donald J. Trump,Proclamations,National security,
02-28-2018,"American Red Cross Month, 2018",Donald J. Trump,Proclamations,Events,
02-28-2018,"Irish-American Heritage Month, 2018",Donald J. Trump,Proclamations,Events,
02-28-2018,"Women's History Month, 2018",Donald J. Trump,Proclamations,Events,
03-02-2018,"National Consumer Protection Week, 2018",Donald J. Trump,Proclamations,Events,
03-08-2018,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
03-08-2018,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
03-16-2018,"National Poison Prevention Week, 2018",Donald J. Trump,Proclamations,Events,
03-16-2018,"Vocational-Technical Education Week, 2018",Donald J. Trump,Proclamations,Events,
03-19-2018,"National Agriculture Day, 2018",Donald J. Trump,Proclamations,Events,
03-22-2018,"Greek Independence Day: A National Day of Celebration of Greek and American Democracy, 2018",Donald J. Trump,Proclamations,Events,
03-22-2018,Adjusting Imports of Aluminum Into the United States,Donald J. Trump,Proclamations,Economy,
03-22-2018,Adjusting Imports of Steel Into the United States,Donald J. Trump,Proclamations,Economy,
03-27-2018,"Education and Sharing Day, U.S.A., 2018",Donald J. Trump,Proclamations,Events,
03-29-2018,"Cancer Control Month, 2018",Donald J. Trump,Proclamations,Events,
03-29-2018,"National Child Abuse Prevention Month, 2018",Donald J. Trump,Proclamations,Events,
03-29-2018,"National Donate Life Month, 2018",Donald J. Trump,Proclamations,Events,
03-30-2018,"National Fair Housing Month, 2018",Donald J. Trump,Proclamations,Events,
03-30-2018,"National Sexual Assault Awareness and Prevention Month, 2018",Donald J. Trump,Proclamations,Events,
03-30-2018,"Second Chance Month, 2018",Donald J. Trump,Proclamations,Events,
04-02-2018,"World Autism Awareness Day, 2018",Donald J. Trump,Proclamations,Events,
04-03-2018,"50th Anniversary of the Assassination of Dr. Martin Luther King, Jr.",Donald J. Trump,Proclamations,Events,
04-12-2018,"Pan American Day and Pan American Week, 2018",Donald J. Trump,Proclamations,Events,
04-16-2018,"National Volunteer Week, 2018",Donald J. Trump,Proclamations,Events,
04-17-2018,Death of Barbara Bush,Donald J. Trump,Proclamations,Events,
04-20-2018,"National Park Week, 2018",Donald J. Trump,Proclamations,Events,
04-26-2018,"World Intellectual Property Day, 2018",Donald J. Trump,Proclamations,Events,
04-27-2018,"National Small Business Week, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"Jewish American Heritage Month, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"Law Day, U.S.A., 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"Asian American and Pacific Islander Heritage Month, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"National Foster Care Month, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"National Mental Health Awareness Month, 2018",Donald J. Trump,Proclamations,Events,
04-30-2018,"Older Americans Month, 2018",Donald J. Trump,Proclamations,Events,
