ShortName,youthLiteracyRate,under5Mortality,country,adolescentFertilityRate,ISO3,Region
Afghanistan,32,96.7,Afghanistan,82.2638,AFG,South Asia
Albania,99,14.9,Albania,21.1438,ALB,Europe & Central Asia
Algeria,89,25.8,Algeria,11.1112,DZA,Middle East & North Africa
Angola,66,167.1,Angola,171.2734,AGO,Sub-Saharan Africa
Argentina,99,13.3,Argentina,63.9136,ARG,Latin America & Caribbean
Armenia,100,15.5,Armenia,24.5562,ARM,Europe & Central Asia
Azerbaijan,100,34.2,Azerbaijan,56.1272,AZE,Europe & Central Asia
Bahrain,98,6.9,Bahrain,13.6638,BHR,Middle East & North Africa
Bangladesh,82,41.6,Bangladesh,84.43,BGD,South Asia
Belarus,100,5,Belarus,20.129,BLR,Europe & Central Asia
Benin,31,104.8,Benin,87.405,BEN,Sub-Saharan Africa
Bhutan,68,36,Bhutan,25.209,BTN,South Asia
Bolivia,99,41.3,Bolivia,71.863,BOL,Latin America & Caribbean
Bosnia and Herzegovina,100,6.1,Bosnia and Herzegovina,10.0562,BIH,Europe & Central Asia
Botswana,98,46.6,Botswana,36.3236,BWA,Sub-Saharan Africa
Brazil,99,16,Brazil,67.8778,BRA,Latin America & Caribbean
Brunei,100,9.9,Brunei Darussalam,21.4452,BRN,East Asia & Pacific
Bulgaria,98,11.5,Bulgaria,40.3382,BGR,Europe & Central Asia
Burkina Faso,33,96.6,Burkina Faso,112.6558,BFA,Sub-Saharan Africa
Burundi,88,87.8,Burundi,29.4556,BDI,Sub-Saharan Africa
Cabo Verde,98,25.9,Cabo Verde,74.1528,CPV,Sub-Saharan Africa
Cambodia,86,32.9,Cambodia,49.9346,KHM,East Asia & Pacific
Cameroon,76,93.9,Cameroon,111.346,CMR,Sub-Saharan Africa
Central African Republic,27,138.5,Central African Republic,95.7756,CAF,Sub-Saharan Africa
Chad,44,147.1,Chad,144.594,TCD,Sub-Saharan Africa
Chile,99,8.4,Chile,48.7144,CHL,Latin America & Caribbean
China,100,12.3,China,7.4344,CHN,East Asia & Pacific
