scope,emissions_category,emissions_source,sub_activity,activity,sub_bu,last_bu,bu,value
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,607.0856
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,1076.03952
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,202.417776
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,3500.63683
Scope 3,Purchased Goods and Services,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,193.41744
Scope 3,Transportation and Distribution,Expenses - Production,Set Dressing & Operations,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,95.1379291
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,98.9346133
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,30.11424
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,24.87168
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,195.24368
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,3214.36538
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,2654.7795
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,5419.63467
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,1144.1451
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,227.92381
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,65.977945
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,399.3888
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,15.536028
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,268.681896
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,2.977244
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,51.488808
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,1364.25308
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,31.5129
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,544.9878
Scope 3,Purchased Goods and Services,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,327.723072
Scope 3,Transportation and Distribution,Expenses - Production,Camera & Electrical,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,132.020766
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,200.475978
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,488.930777
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,18.450218
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,396.385007
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,2482.89593
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,48.858766
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,295.362978
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,99.74853
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,1739.49738
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,1767.40375
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,3477.70883
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,393.463408
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,60.98925
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,62.1177062
Scope 3,Transportation and Distribution,Expenses - Production,Locational Expenses & Transportation,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,634.119291
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,387.54402
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,0
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,51.2968169
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,52.1997163
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,85.3606692
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,85.858852
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,476.590698
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,180.775782
Scope 3,Purchased Goods and Services,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,66.967641
Scope 3,Transportation and Distribution,Expenses - Production,Misc. Production,Production Self Mng,PG&S,Self Mng. PG&S,Production,101.691603
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,43.5996879
Scope 2,Purchased Grid Electricity,Electric - DVD,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,43.7486976
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Office and Employee Expenses,Corporate,PG&S,Corp. PG&S,Corporate Operations,4205.51156
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Office and Employee Expenses,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Office and Employee Expenses,Corporate,PG&S,Corp. PG&S,Corporate Operations,963.960801
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Office and Employee Expenses,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 2,Purchased Grid Electricity,Electric - Billboards,Electricity Use,Electricity Use,Facilities,Corp. Facilities,Corporate Operations,1.40342829
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,26342.2648
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2.97378667
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,42.4148582
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,6071.42209
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2183.97987
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,12657.5685
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,5965.38976
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,10494.7149
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,745.997403
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,21438.9463
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,12700.1817
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,8320.26184
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,4.25620109
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,52.6848676
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,204.066091
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2187.12886
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,684.802134
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,91.3069512
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,3738.11959
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,13.4402
Scope 3,Transportation and Distribution,Expenses - Production,Visual Effects,Production Self Mng,PG&S,Self Mng. PG&S,Production,232.4364
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,305.234506
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,11647.3906
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,7401.137
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
Scope 3,Purchased Goods and Services,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,2721.17915
Scope 3,Transportation and Distribution,Expenses - Corporate OpEx,Marketing Programs,Corporate,PG&S,Corp. PG&S,Corporate Operations,0
